seed,metric_value,scenario,metric,ablation
49,0.18,balanced,p_timeout,novp
49,4.47,balanced,commit_latency,novp
49,5.47,balanced,junction_pause,novp
49,1.7,balanced,reorientation,novp
50,0.49,balanced,p_open,novp
50,0.16,balanced,p_timeout,novp
50,4.41,balanced,commit_latency,novp
50,5.41,balanced,junction_pause,novp
50,1.76,balanced,reorientation,novp
51,0.51,balanced,p_open,novp
51,0.13,balanced,p_timeout,novp
51,4.29,balanced,commit_latency,novp
51,5.29,balanced,junction_pause,novp
51,1.54,balanced,reorientation,novp
52,0.51,balanced,p_open,novp
52,0.23,balanced,p_timeout,novp
52,4.53,balanced,commit_latency,novp
52,5.53,balanced,junction_pause,novp
52,1.79,balanced,reorientation,novp
53,0.44,balanced,p_open,novp
53,0.18,balanced,p_timeout,novp
53,4.46,balanced,commit_latency,novp
53,5.46,balanced,junction_pause,novp
53,1.68,balanced,reorientation,novp
54,0.46,balanced,p_open,novp
54,0.2,balanced,p_timeout,novp
54,4.49,balanced,commit_latency,novp
54,5.49,balanced,junction_pause,novp
54,1.78,balanced,reorientation,novp
55,0.43,balanced,p_open,novp
55,0.17,balanced,p_timeout,novp
55,4.38,balanced,commit_latency,novp
55,5.38,balanced,junction_pause,novp
55,1.52,balanced,reorientation,novp
56,0.45,balanced,p_open,novp
56,0.17,balanced,p_timeout,novp
56,4.44,balanced,commit_latency,novp
56,5.44,balanced,junction_pause,novp
56,1.71,balanced,reorientation,novp
57,0.4,balanced,p_open,novp
57,0.21,balanced,p_timeout,novp
57,4.51,balanced,commit_latency,novp
57,5.51,balanced,junction_pause,novp
57,1.8,balanced,reorientation,novp
58,0.36,balanced,p_open,novp
58,0.18,balanced,p_timeout,novp
58,4.63,balanced,commit_latency,novp
58,5.63,balanced,junction_pause,novp
58,1.8,balanced,reorientation,novp
59,0.54,balanced,p_open,novp
59,0.19,balanced,p_timeout,novp
59,4.57,balanced,commit_latency,novp
59,5.57,balanced,junction_pause,novp
59,1.84,balanced,reorientation,novp
60,0.44,balanced,p_open,novp
60,0.2,balanced,p_timeout,novp
60,4.66,balanced,commit_latency,novp
60,5.66,balanced,junction_pause,novp
60,1.94,balanced,reorientation,novp
61,0.41,balanced,p_open,novp
61,0.19,balanced,p_timeout,novp
61,4.35,balanced,commit_latency,novp
61,5.35,balanced,junction_pause,novp
61,1.69,balanced,reorientation,novp
62,0.44,balanced,p_open,novp
62,0.18,balanced,p_timeout,novp
62,4.37,balanced,commit_latency,novp
62,5.37,balanced,junction_pause,novp
62,1.64,balanced,reorientation,novp
63,0.43,balanced,p_open,novp
63,0.23,balanced,p_timeout,novp
63,4.68,balanced,commit_latency,novp
63,5.68,balanced,junction_pause,novp
63,1.85,balanced,reorientation,novp
64,0.36,balanced,p_open,novp
64,0.18,balanced,p_timeout,novp
64,4.46,balanced,commit_latency,novp
64,5.46,balanced,junction_pause,novp
64,1.7,balanced,reorientation,novp
65,0.42,balanced,p_open,novp
65,0.17,balanced,p_timeout,novp
65,4.19,balanced,commit_latency,novp
65,5.19,balanced,junction_pause,novp
65,1.49,balanced,reorientation,novp
66,0.37,balanced,p_open,novp
66,0.17,balanced,p_timeout,novp
66,4.41,balanced,commit_latency,novp
66,5.41,balanced,junction_pause,novp
66,1.55,balanced,reorientation,novp
67,0.41,balanced,p_open,novp
67,0.2,balanced,p_timeout,novp
67,4.48,balanced,commit_latency,novp
67,5.48,balanced,junction_pause,novp
67,1.61,balanced,reorientation,novp
68,0.45,balanced,p_open,novp
