protocol,ablation,target_path,expected_direction,window,metric,n_seeds,mean,ci_low,ci_high
treat,full,covered,positive,post_31_plus,q_pos,50,4.523145306424218e-05,4.339151177844944e-05,4.723865690140269e-05
treat,full,covered,positive,post_all,q_pos,50,0.1100249098435992,0.10968598809076634,0.11038505650103367
treat,novg,covered,positive,pre,X_opp,50,0.27499999999999997,0.27499999999999997,0.27499999999999997
treat,novg,covered,positive,shock,X_opp,50,0.275,0.275,0.275
treat,novg,covered,positive,post_1_3,X_opp,50,0.27499999999999997,0.27499999999999997,0.27499999999999997
treat,novg,covered,positive,post_4_10,X_opp,50,0.27499999999999997,0.27499999999999997,0.27499999999999997
treat,novg,covered,positive,post_11_30,X_opp,50,0.275,0.275,0.275
treat,novg,covered,positive,post_31_plus,X_opp,50,0.275,0.275,0.275
treat,novg,covered,positive,post_all,X_opp,50,0.275,0.275,0.275
treat,novg,covered,positive,pre,X_risk,50,0.2254137931034483,0.22513793103448276,0.22575862068965516
treat,novg,covered,positive,shock,X_risk,50,0.225,0.225,0.225
treat,novg,covered,positive,post_1_3,X_risk,50,0.225,0.225,0.225
treat,novg,covered,positive,post_4_10,X_risk,50,0.22557142857142856,0.225,0.22642857142857142
treat,novg,covered,positive,post_11_30,X_risk,50,0.22499999999999992,0.22499999999999992,0.22499999999999992
treat,novg,covered,positive,post_31_plus,X_risk,50,0.22514999999999993,0.22499999999999992,0.22534999999999994
treat,novg,covered,positive,post_all,X_risk,50,0.22514285714285712,0.2250285714285714,0.22528571428571426
treat,novg,covered,positive,pre,commit_latency,50,1.0,1.0,1.0
treat,novg,covered,positive,shock,commit_latency,50,1.0,1.0,1.0
treat,novg,covered,positive,post_1_3,commit_latency,50,1.0,1.0,1.0
treat,novg,covered,positive,post_4_10,commit_latency,50,1.0,1.0,1.0
treat,novg,covered,positive,post_11_30,commit_latency,50,1.0,1.0,1.0
treat,novg,covered,positive,post_31_plus,commit_latency,50,1.0,1.0,1.0
treat,novg,covered,positive,post_all,commit_latency,50,1.0,1.0,1.0
treat,novg,covered,positive,pre,h_opp,50,0.2521461352858881,0.2521461352858881,0.2521461352858881
treat,novg,covered,positive,shock,h_opp,50,0.27499887818030994,0.27499887818030994,0.27499887818030994
treat,novg,covered,positive,post_1_3,h_opp,50,0.26941557596008164,0.26941557596008164,0.26941557596008164
treat,novg,covered,positive,post_4_10,h_opp,50,0.272926912705377,0.272926912705377,0.272926912705377
treat,novg,covered,positive,post_11_30,h_opp,50,0.2749307312950393,0.2749307312950393,0.2749307312950393
