protocol,ablation,target_path,expected_direction,trial,rel_trial,n_trials,p_open,p_covered,p_target,p_timeout,mean_commit_latency,mean_junction_pause_duration,mean_h_risk,mean_h_opp,mean_q_neg,mean_q_pos,mean_X_risk,mean_X_opp
shock,novg,open,negative,38,8,50,0.0,1.0,0.0,0.0,1.0,2.0,0.30728663424437264,0.27499996148025885,0.7716281232654196,0.0,0.22499999999999998,0.275
shock,novg,open,negative,39,9,50,0.0,1.0,0.0,0.0,1.0,2.0,0.3093918444815415,0.2749999747271978,0.711725212260578,0.0,0.22499999999999998,0.275
shock,novg,open,negative,40,10,50,0.02,0.98,0.02,0.0,1.0,2.0,0.31068525775932193,0.27499998341851445,0.6564726744583989,0.0,0.22699999999999998,0.275
shock,novg,open,negative,41,11,50,0.0,1.0,0.0,0.0,1.0,2.0,0.31131090729220623,0.2749999891208873,0.6055094928304722,0.0,0.22499999999999998,0.275
shock,novg,open,negative,42,12,50,0.0,1.0,0.0,0.0,1.0,2.0,0.31077523464264756,0.2749999928622142,0.5585026767645758,0.0,0.22499999999999998,0.275
shock,novg,open,negative,43,13,50,0.0,1.0,0.0,0.0,1.0,2.0,0.30956522453600355,0.2749999953168988,0.5151450863224164,0.0,0.22499999999999998,0.275
shock,novg,open,negative,44,14,50,0.0,1.0,0.0,0.0,1.0,2.0,0.3077737260349524,0.2749999969274173,0.4751534254042483,0.0,0.22499999999999998,0.275
shock,novg,open,negative,45,15,50,0.0,1.0,0.0,0.0,1.0,2.0,0.3054940947546478,0.2749999979840785,0.4382663907078137,0.0,0.22499999999999998,0.275
shock,novg,open,negative,46,16,50,0.0,1.0,0.0,0.0,1.0,2.0,0.30281758893260347,0.2749999986773539,0.40424296438700724,0.0,0.22499999999999998,0.275
shock,novg,open,negative,47,17,50,0.0,1.0,0.0,0.0,1.0,2.0,0.29983113081525076,0.27499999913221185,0.37286083925458935,0.0,0.22499999999999998,0.275
shock,novg,open,negative,48,18,50,0.0,1.0,0.0,0.0,1.0,2.0,0.29661550670017295,0.27499999943064424,0.3439149662393113,0.0,0.22499999999999998,0.275
shock,novg,open,negative,49,19,50,0.0,1.0,0.0,0.0,1.0,2.0,0.2932440418091033,0.2749999996264457,0.31721621460661564,0.0,0.22499999999999998,0.275
shock,novg,open,negative,50,20,50,0.0,1.0,0.0,0.0,1.0,2.0,0.2897817506503124,0.2749999997549111,0.2925901361888692,0.0,0.22499999999999998,0.275
shock,novg,open,negative,51,21,50,0.0,1.0,0.0,0.0,1.0,2.0,0.28628493286253726,0.2749999998391972,0.26987582555067674,0.0,0.22499999999999998,0.275
shock,novg,open,negative,52,22,50,0.0,1.0,0.0,0.0,1.0,2.0,0.28280116093760144,0.2749999998944973,0.24892486864165858,0.0,0.22499999999999998,0.275
shock,novg,open,negative,53,23,50,0.0,1.0,0.0,0.0,1.0,2.0,0.2793695907865095,0.27499999993077967,0.22960037306724834,0.0,0.22499999999999998,0.275
shock,novg,open,negative,54,24,50,0.04,0.96,0.04,0.0,1.0,2.0,0.27635220827705226,0.2749999999545846,0.21177607364135134,0.0,0.22899999999999998,0.275
shock,novg,open,negative,55,25,50,0.02,0.98,0.02,0.0,1.0,2.0,0.2740519641015115,0.27499999997020297,0.1953355073765977,0.0,0.22699999999999998,0.275
